t;alpha;omega
59.7;0.313952;4.83839e-05
59.8;0.313956;3.14751e-05
59.9;0.313958;1.44796e-05
60;0.313959;-2.31019e-06
60.1;0.313958;-1.86129e-05
60.2;0.313955;-3.41631e-05
60.3;0.313951;-4.87153e-05
60.4;0.313946;-6.20476e-05
60.5;0.313939;-7.39647e-05
60.6;0.313931;-8.43008e-05
60.7;0.313922;-9.29217e-05
60.8;0.313912;-9.97256e-05
60.9;0.313902;-0.000104645
61;0.313891;-0.000107646
61.1;0.313881;-0.000108728
61.2;0.31387;-0.000107925
61.3;0.313859;-0.0001053
61.4;0.313849;-0.000100946
61.5;0.313839;-9.49839e-05
61.6;0.31383;-8.75587e-05
61.7;0.313821;-7.8836e-05
61.8;0.313814;-6.89993e-05
61.9;0.313808;-5.82464e-05
62;0.313802;-4.67853e-05
62.1;0.313798;-3.48306e-05
62.2;0.313795;-2.25998e-05
62.3;0.313794;-1.0309e-05
62.4;0.313793;1.83021e-06
62.5;0.313794;1.36145e-05
62.6;0.313796;2.48522e-05
62.7;0.313799;3.53658e-05
62.8;0.313803;4.4995e-05
62.9;0.313808;5.35991e-05
63;0.313814;6.10583e-05
63.1;0.31382;6.72758e-05
63.2;0.313827;7.21785e-05
63.3;0.313835;7.57178e-05
63.4;0.313842;7.78694e-05
63.5;0.31385;7.86337e-05
63.6;0.313858;7.80346e-05
63.7;0.313866;7.61187e-05
63.8;0.313873;7.29538e-05
63.9;0.31388;6.86272e-05
64;0.313887;6.32439e-05
64.1;0.313893;5.69239e-05
64.2;0.313898;4.98002e-05
64.3;0.313903;4.20159e-05
64.4;0.313907;3.37214e-05
64.5;0.31391;2.50722e-05
64.6;0.313912;1.62253e-05
64.7;0.313913;7.33715e-06
64.8;0.313913;-1.43937e-06
64.9;0.313913;-9.95734e-06
65;0.313911;-1.80782e-05
65.1;0.313909;-2.56737e-05
65.2;0.313906;-3.26283e-05
65.3;0.313902;-3.88402e-05
65.4;0.313898;-4.42232e-05
65.5;0.313894;-4.87074e-05
65.6;0.313889;-5.22401e-05
65.7;0.313883;-5.47864e-05
65.8;0.313878;-5.63291e-05
65.9;0.313872;-5.68686e-05
66;0.313866;-5.64225e-05
66.1;0.313861;-5.50246e-05
66.2;0.313855;-5.27241e-05
66.3;0.31385;-4.95845e-05
66.4;0.313845;-4.56817e-05
66.5;0.313841;-4.11027e-05
66.6;0.313837;-3.59438e-05
66.7;0.313834;-3.03085e-05
66.8;0.313831;-2.43058e-05
66.9;0.313829;-1.80479e-05
67;0.313828;-1.16487e-05
67.1;0.313827;-5.22105e-06
67.2;0.313827;1.1244e-06
67.3;0.313827;7.28147e-06
67.4;0.313828;1.315e-05
67.5;0.31383;1.86376e-05
67.6;0.313832;2.36605e-05
67.7;0.313834;2.81454e-05
67.8;0.313837;3.203e-05
67.9;0.313841;3.5264e-05
68;0.313844;3.78095e-05
68.1;0.313848;3.96413e-05
68.2;0.313852;4.07473e-05
68.3;0.313856;4.11278e-05
68.4;0.31386;4.07958e-05
68.5;0.313864;3.97758e-05
68.6;0.313868;3.81037e-05
68.7;0.313872;3.58254e-05
68.8;0.313876;3.29959e-05
68.9;0.313879;2.96783e-05
69;0.313881;2.59422e-05
69.1;0.313884;2.18627e-05
69.2;0.313886;1.75185e-05
69.3;0.313887;1.2991e-05
69.4;0.313888;8.36224e-06
69.5;0.313889;3.71407e-06
69.6;0.313889;-8.73612e-07
69.7;0.313889;-5.32407e-06
69.8;0.313888;-9.56496e-06
69.9;0.313887;-1.35294e-05
70;0.313885;-1.71571e-05
70.1;0.313884;-2.03951e-05
70.2;0.313881;-2.31984e-05
70.3;0.313879;-2.55308e-05
70.4;0.313876;-2.73649e-05
70.5;0.313873;-2.86827e-05
70.6;0.313871;-2.94756e-05
70.7;0.313868;-2.97439e-05
70.8;0.313865;-2.9497e-05
70.9;0.313862;-2.87529e-05
71;0.313859;-2.75375e-05
71.1;0.313856;-2.58843e-05
71.2;0.313854;-2.3833e-05
71.3;0.313851;-2.14293e-05
71.4;0.313849;-1.87237e-05
71.5;0.313848;-1.57705e-05
71.6;0.313846;-1.26266e-05
71.7;0.313845;-9.35091e-06
71.8;0.313844;-6.00281e-06
71.9;0.313844;-2.64144e-06
72;0.313844;6.75429e-07
72.1;0.313844;3.89234e-06
72.2;0.313845;6.95701e-06
72.3;0.313845;9.82116e-06
72.4;0.313847;1.24412e-05
72.5;0.313848;1.47789e-05
72.6;0.31385;1.68019e-05
72.7;0.313851;1.8484e-05
72.8;0.313853;1.98055e-05
72.9;0.313855;2.07536e-05
73;0.313857;2.13219e-05
73.1;0.31386;2.15109e-05
73.2;0.313862;2.13274e-05
73.3;0.313864;2.07846e-05
73.4;0.313866;1.99013e-05
73.5;0.313868;1.87016e-05
73.6;0.31387;1.72144e-05
73.7;0.313871;1.5473e-05
73.8;0.313873;1.35136e-05
73.9;0.313874;1.13757e-05
74;0.313875;9.10052e-06
74.1;0.313876;6.73054e-06
74.2;0.313876;4.30879e-06
74.3;0.313877;1.87801e-06
74.4;0.313877;-5.20047e-07
74.5;0.313876;-2.84529e-06
74.6;0.313876;-5.05995e-06
74.7;0.313875;-7.12915e-06
74.8;0.313875;-9.02142e-06
74.9;0.313874;-1.07092e-05
75;0.313873;-1.2169e-05
75.1;0.313871;-1.33821e-05
75.2;0.31387;-1.43343e-05
75.3;0.313868;-1.50163e-05
75.4;0.313867;-1.54236e-05
75.5;0.313865;-1.55567e-05
75.6;0.313864;-1.54205e-05
75.7;0.313862;-1.50245e-05
75.8;0.313861;-1.43825e-05
75.9;0.313859;-1.3512e-05
76;0.313858;-1.24339e-05
76.1;0.313857;-1.11722e-05
76.2;0.313856;-9.75327e-06
76.3;0.313855;-8.20562e-06
76.4;0.313854;-6.55907e-06
76.5;0.313854;-4.84439e-06
76.6;0.313853;-3.09269e-06
76.7;0.313853;-1.33486e-06
76.8;0.313853;3.98907e-07
76.9;0.313853;2.07964e-06
77;0.313853;3.68005e-06
77.1;0.313854;5.17494e-06
77.2;0.313854;6.54159e-06
77.3;0.313855;7.76008e-06
77.4;0.313856;8.81355e-06
77.5;0.313857;9.6884e-06
77.6;0.313858;1.03745e-05
77.7;0.313859;1.0865e-05
77.8;0.31386;1.1157e-05
77.9;0.313861;1.12506e-05
78;0.313862;1.11495e-05
78.1;0.313863;1.08607e-05
78.2;0.313864;1.03941e-05
78.3;0.313865;9.76245e-06
78.4;0.313866;8.98088e-06
78.5;0.313867;8.06675e-06
78.6;0.313868;7.03922e-06
78.7;0.313869;5.91886e-06
78.8;0.313869;4.72727e-06
78.9;0.31387;3.48671e-06
79;0.31387;2.21967e-06
79.1;0.31387;9.48496e-07
79.2;0.31387;-3.04988e-07
79.3;0.31387;-1.51985e-06
79.4;0.31387;-2.67636e-06
79.5;0.313869;-3.75633e-06
79.6;0.313869;-4.74336e-06
79.7;0.313868;-5.62306e-06
79.8;0.313868;-6.38326e-06
79.9;0.313867;-7.01418e-06
80;0.313866;-7.50848e-06
80.1;0.313866;-7.86137e-06
80.2;0.313865;-8.07057e-06
80.3;0.313864;-8.13636e-06
80.4;0.313863;-8.06143e-06
80.5;0.313863;-7.85081e-06
80.6;0.313862;-7.51172e-06
80.7;0.313861;-7.05338e-06
80.8;0.31386;-6.48678e-06
80.9;0.31386;-5.8245e-06
81;0.313859;-5.08039e-06
81.1;0.313859;-4.26935e-06
81.2;0.313858;-3.40702e-06
81.3;0.313858;-2.50948e-06
81.4;0.313858;-1.59301e-06
